2025-01-03 20:58:10 | INFO | stdout | INFO:     127.0.0.1:60892 - "POST /worker_generate_stream HTTP/1.1" 200 OK
2025-01-03 20:58:42 | ERROR | stderr | INFO:     Shutting down
2025-01-03 20:58:42 | ERROR | stderr | INFO:     Waiting for application shutdown.
2025-01-03 20:58:42 | ERROR | stderr | INFO:     Application shutdown complete.
2025-01-03 20:58:42 | ERROR | stderr | INFO:     Finished server process [80418]
2025-01-03 20:58:55 | INFO | model_worker | args: Namespace(host='localhost', port=21002, worker_address='http://localhost:21002', controller_address='http://localhost:21001', model_path='meta-llama/Llama-2-7b-chat-hf', revision='main', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, dtype=None, load_8bit=False, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, awq_ckpt=None, awq_wbits=16, awq_groupsize=-1, enable_exllama=False, exllama_max_seq_len=4096, exllama_gpu_split=None, enable_xft=False, xft_max_seq_len=4096, xft_dtype=None, model_names=None, conv_template=None, embed_in_truncate=False, limit_worker_concurrency=5, stream_interval=2, no_register=False, seed=None, debug=False, ssl=False)
2025-01-03 20:58:55 | INFO | model_worker | Loading the model ['Llama-2-7b-chat-hf'] on worker 7f779699 ...
2025-01-03 20:58:55 | ERROR | stderr | Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
2025-01-03 20:58:55 | ERROR | stderr | Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  8.85it/s]
2025-01-03 20:58:55 | ERROR | stderr | Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 10.95it/s]
2025-01-03 20:58:55 | ERROR | stderr | 
2025-01-03 20:59:02 | INFO | model_worker | Register to controller
2025-01-03 20:59:02 | INFO | controller | Register an existing worker: http://localhost:21002
2025-01-03 20:59:02 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['Llama-2-7b-chat-hf'], 'speed': 1, 'queue_length': 0}
2025-01-03 20:59:02 | INFO | stdout | INFO:     127.0.0.1:60982 - "POST /register_worker HTTP/1.1" 200 OK
2025-01-03 20:59:02 | ERROR | stderr | INFO:     Started server process [94317]
2025-01-03 20:59:02 | ERROR | stderr | INFO:     Waiting for application startup.
2025-01-03 20:59:02 | ERROR | stderr | INFO:     Application startup complete.
2025-01-03 20:59:02 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21002 (Press CTRL+C to quit)
2025-01-03 20:59:07 | INFO | stdout | INFO:     127.0.0.1:41776 - "POST /worker_generate_stream HTTP/1.1" 200 OK
We detected that you are passing `past_key_values` as a tuple of tuples. This is deprecated and will be removed in v4.47. Please convert your cache or use an appropriate `Cache` class (https://huggingface.co/docs/transformers/kv_cache#legacy-cache-format)
2025-01-03 20:59:13 | INFO | stdout | INFO:     127.0.0.1:40422 - "POST /worker_generate_stream HTTP/1.1" 200 OK
